Symbol,Code
1332,E00014
1431,E31614
1447,E34165
1711,E05452
1757,E00288
1873,E00197
1879,E00221
1890,E00082
1928,E00143
2120,E05624
2122,E05623
2130,E05153
2140,E05666
2144,E05596
2148,E05686
2160,E05712
2170,E05727
2181,E21261
2193,E22663
2206,E00373
2282,E00334
2293,E00343
2351,E05324
2371,E05350
2388,E00745
2395,E05385
2397,E05389
2410,E05419
2411,E05417
2413,E05425
2427,E05447
2433,E05410
2464,E05524
2495,E05610
2502,E00394
2503,E00395
2538,E00399
2579,E00417
2587,E27622
2767,E03407
2768,E02958
2776,E02960
2802,E00436
2819,E00514
2892,E00442
3023,E02547
3079,E03005
3086,E03516
3111,E00531
3156,E23245
3185,E27615
3211,E00555
3250,E04078
3284,E27281
3291,E27759
3331,E03438
3350,E02978
3387,E05517
3397,E03468
3539,E32254
3647,E24998
3673,E27361
3679,E30047
3680,E30091
3769,E05476
3772,E03801
3853,E05699
3856,E05713
3865,E00645
3989,E33242
4005,E00752
4023,E00761
4059,E35945
4091,E00783
4151,E00816
4185,E01003
4188,E00808
4203,E00819
4215,E00823
4217,E01013
4233,E02239
4235,E01061
4293,E05206
4301,E05219
4314,E05227
4316,E05228
4324,E04760
4330,E05250
4381,E33825
4427,E34544
4452,E00883
4506,E00922
4508,E00924
4514,E00929
4523,E00939
4536,E00949
4541,E00963
4543,E01630
4552,E00973
4555,E00976
4565,E00981
4566,E00982
4578,E21183
4689,E05000
4739,E05059
4749,E04714
4755,E05080
4817,E04475
4845,E05187
4902,E00989
5020,E24050
5110,E01110
5191,E01097
5286,E01215
5384,E01207
5401,E01225
5486,E01244
5602,E01268
5659,E01280
5817,E01348
5857,E21187
5938,E01317
5989,E02222
6005,E01478
6029,E30998
6034,E31071
6037,E31248
6072,E27059
6098,E07801
6141,E01502
6172,E31732
6191,E32194
6201,E01514
6260,E02111
6268,E01726
6276,E01675
6305,E01585
6334,E01538
6336,E02047
6367,E01570
6376,E01591
6445,E01595
6448,E01594
6471,E01600
6474,E01603
6501,E01737
6548,E33110
6588,E01884
6594,E01975
6624,E01823
6668,E02092
6672,E02347
6675,E01874
6678,E02345
6701,E01765
6702,E01766
6724,E01873
6728,E01589
6754,E01774
6803,E01932
6817,E01971
6840,E02045
6864,E01847
6869,E02015
6882,E01821
6902,E01892
6926,E01928
6930,E01848
6960,E02304
6988,E01888
7169,E27579
7187,E32412
7203,E02144
7213,E02105
7220,E02237
7229,E02236
7230,E02235
7242,E02147
7251,E02196
7259,E01593
7267,E02166
7278,E02203
7287,E02214
7296,E02221
7298,E02224
7313,E02380
7519,E02854
7616,E03321
7618,E03323
7719,E01587
7731,E02271
7733,E02272
7741,E01124
7744,E02322
7752,E02275
7806,E34054
7916,E00696
7928,E01031
7944,E01834
7951,E02362
7997,E02372
8015,E02505
8020,E02506
8028,E03125
8036,E02617
8070,E02527
8113,E00678
8205,E03105
8216,E03123
8227,E03137
8375,E03579
8403,E03627
8404,E03628
8473,E05159
8508,E03724
8520,E03636
8574,E03708
8586,E04779
8697,E03814
8737,E03733
8755,E03827
8761,E03833
8860,E03953
8927,E04024
9010,E04093
9028,E04230
9086,E04111
9087,E04354
9204,E38082
9204,E04279
9351,E04321
9423,E05528
9432,E04430
9433,E04425
9435,E04948
9507,E04505
9514,E05470
9611,E04915
9639,E04890
9647,E04884
9663,E04867
9720,E04566
9872,E02722
9889,E02729
9946,E03188
9950,E03202
9962,E02770
9968,E03212
9979,E03223
9983,E03217
