年度,通期
2023/11,https://irbank.net/E02722/
2022/11,https://irbank.net/E02722/081220221228584724/pl
2021/11,https://irbank.net/E02722/081220211228562435/pl
2020/11,https://irbank.net/E02722/081220201228439832/pl
2019/11,https://irbank.net/E02722/081220191227442471/pl
2018/11,https://irbank.net/E02722/081220181228456184/pl
2017/11,https://irbank.net/E02722/081220171227443833/pl
2016/11,https://irbank.net/E02722/081220161226463687/pl
2015/11,https://irbank.net/E02722/081220160105481959/pl
2014/11,https://irbank.net/E02722/081220150130015572/pl
2013/11,https://irbank.net/E02722/081220131220075601/pl
