Date,Data_type,Value
2023-03-29,Dividends,$0.23
2022-09-28,Dividends,$0.18
2022-03-29,Dividends,$0.17
2021-09-28,Dividends,$0.21
2021-03-29,Dividends,$0.74
2020-09-28,Dividends,$0.21
2020-03-27,Dividends,$0.64
2019-09-26,Dividends,$0.29
2018-09-26,Dividends,$0.29
2018-04-04,Dividends,$0.22
2017-12-19,Dividends,$0.43
2017-05-17,Dividends,$0.16
2016-12-15,Dividends,$0.20
2016-05-17,Dividends,$0.10
2015-12-14,Dividends,$0.18
2015-05-15,Dividends,$0.11
2014-12-16,Dividends,$0.23
2014-05-14,Dividends,$0.12
2013-12-17,Dividends,$0.18
2013-05-14,Dividends,$0.13
2012-12-14,Dividends,$0.20
2012-05-11,Dividends,$0.06700
2011-05-11,Dividends,$0.06100
2011-01-04,Splits,5:4
2010-12-13,Dividends,$0.21
2010-05-12,Dividends,$0.05760
2009-12-11,Dividends,$0.11
2009-05-08,Dividends,$0.03600
2008-12-09,Dividends,$0.09120
2008-05-19,Dividends,$0.09840
2007-12-12,Dividends,$0.16
2007-08-16,Dividends,$0.09040
2007-06-11,Dividends,$0.09120
