Symbol,Crawl_DividendCash,Crawl_DividendShares,DividendCash,DividendShares,Total
Total,803,803,803,803,
14D,0,0,0,0,0
14DN,0,0,0,0,0
1AD,0,0,0,0,0
1AE,0,0,0,0,0
1AG,0,0,0,0,0
1CG,0,0,0,0,0
1MC,0,0,0,0,0
1ST,0,0,0,0,0
1TT,0,0,0,0,0
29M,0,0,0,0,0
360,0,0,0,0,0
3DA,0,0,0,0,0
3DP,0,0,0,0,0
3MF,0,0,0,0,0
3PL,0,0,0,0,0
4DS,0,0,0,0,0
4DX,0,0,0,0,0
5EA,0,0,0,0,0
5GG,0,0,0,0,0
88E,0,0,0,0,0
8CO,0,0,0,0,0
8IH,0,0,0,0,0
8VI,0,0,0,0,0
92E,0,0,0,0,0
A11,0,0,0,0,0
A1G,0,0,0,0,0
A1M,0,0,0,0,0
A1N,0,0,0,0,0
A2B,0,0,0,0,0
A2M,0,0,0,0,0
A3D,0,0,0,0,0
A4N,0,0,0,0,0
A8G,0,0,0,0,0
AAC,0,0,0,0,0
AAJ,0,0,0,0,0
AAP,0,0,0,0,0
AAR,1,1,1,1,4
AAU,0,0,0,0,0
ABA,0,0,0,0,0
ABB,0,0,0,0,0
ABC,1,1,1,1,4
ABE,0,0,0,0,0
ABG,0,0,0,0,0
ABV,0,0,0,0,0
ABX,0,0,0,0,0
ABY,1,1,1,1,4
AC8,0,0,0,0,0
ACB,0,0,0,0,0
ACE,0,0,0,0,0
ACF,0,0,0,0,0
ACL,1,1,1,1,4
ACM,0,0,0,0,0
ACP,0,0,0,0,0
ACQ,0,0,0,0,0
ACR,0,0,0,0,0
ACS,0,0,0,0,0
ACU,1,1,1,1,4
ACW,0,0,0,0,0
AD1,0,0,0,0,0
AD8,0,0,0,0,0
ADA,1,1,1,1,4
ADC,0,0,0,0,0
ADD,1,1,1,1,4
ADG,0,0,0,0,0
ADH,0,0,0,0,0
ADN,0,0,0,0,0
ADO,0,0,0,0,0
ADR,0,0,0,0,0
ADS,1,1,1,1,4
ADT,1,1,1,1,4
ADV,0,0,0,0,0
ADX,0,0,0,0,0
ADY,0,0,0,0,0
AE1,0,0,0,0,0
AEE,0,0,0,0,0
AEF,1,1,1,1,4
AEI,0,0,0,0,0
AER,0,0,0,0,0
AEV,0,0,0,0,0
AFA,0,0,0,0,0
AFG,0,0,0,0,0
AFI,1,1,1,1,4
AFL,1,1,1,1,4
AFP,0,0,0,0,0
AFW,0,0,0,0,0
AGC,1,1,1,1,4
AGD,0,0,0,0,0
AGE,0,0,0,0,0
AGH,0,0,0,0,0
AGI,0,0,0,0,0
AGL,0,0,0,0,0
AGN,0,0,0,0,0
AGR,0,0,0,0,0
AGY,1,1,1,1,4
AHC,0,0,0,0,0
AHF,0,0,0,0,0
AHI,0,0,0,0,0
AHK,0,0,0,0,0
AHL,0,0,0,0,0
AHN,0,0,0,0,0
AHQ,0,0,0,0,0
AHX,0,0,0,0,0
AIA,1,1,1,1,4
AIB,1,1,1,1,4
AII,0,0,0,0,0
AIM,0,0,0,0,0
