Symbol,Crawl_Price,Price,Date_Start,Date_End
Total,5058,3920,,
14D,1,1,23/08/2023,12/09/2018
14DN,1,0,,
1AD,1,1,23/08/2023,23/08/2016
1AE,1,1,23/08/2023,18/05/2022
1AG,1,1,23/08/2023,29/03/2016
1CG,1,1,23/08/2023,28/09/2022
1MC,1,1,23/08/2023,20/12/2021
1ST,1,1,23/08/2023,09/06/2015
1TT,1,1,23/08/2023,28/04/2023
29M,1,1,23/08/2023,02/07/2021
360,1,1,23/08/2023,13/05/2019
3DA,1,1,23/08/2023,06/12/2019
3DP,1,1,23/08/2023,12/07/2016
3MF,1,1,23/08/2023,02/03/2021
3PL,1,1,23/08/2023,09/07/2014
4DS,1,1,23/08/2023,14/12/2015
4DX,1,1,23/08/2023,07/08/2020
5EA,1,1,23/08/2023,01/03/2022
5GG,1,1,23/08/2023,29/01/2021
88E,1,1,23/08/2023,04/03/2015
8CO,1,1,23/08/2023,27/08/2014
8IH,1,1,23/08/2023,17/12/2014
8VI,1,1,23/08/2023,30/11/2018
92E,1,1,23/08/2023,15/04/2021
A11,1,1,23/08/2023,27/09/2022
A1G,1,1,23/08/2023,15/02/2019
A1M,1,1,23/08/2023,13/06/2019
A1N,1,1,23/08/2023,22/05/2023
A2B,1,1,23/08/2023,30/11/2018
A2M,1,1,23/08/2023,01/04/2015
A3D,1,1,23/08/2023,17/08/2016
A4N,1,1,23/08/2023,04/12/2018
A8G,1,1,23/08/2023,13/05/2021
AAC,1,1,23/08/2023,10/08/2001
AAJ,1,1,23/08/2023,23/07/2010
AAP,1,1,23/08/2023,27/02/2013
AAR,1,1,23/08/2023,04/01/2000
AAU,1,1,23/08/2023,04/01/2000
ABA,1,1,23/08/2023,08/04/2015
ABB,1,1,23/08/2023,22/07/2002
ABC,1,1,23/08/2023,04/01/2000
ABE,1,1,23/08/2023,07/12/2021
ABG,1,1,23/08/2023,04/01/2000
ABV,1,1,23/08/2023,05/11/2007
ABX,1,1,23/08/2023,30/04/2002
ABY,1,1,23/08/2023,12/05/2006
AC8,1,1,23/08/2023,07/02/2017
ACB,1,1,23/08/2023,19/05/2006
ACE,1,1,23/08/2023,21/02/2000
ACF,1,1,23/08/2023,08/07/2003
ACL,1,1,23/08/2023,23/12/2003
