Symbol,Crawl_DividendCash,Crawl_DividendShares,DividendCash,DividendShares,Total
Total,1201,1201,744,739,
14D,0,0,0,0,0
14DN,0,0,0,0,0
1AD,0,0,0,0,0
1AE,0,0,0,0,0
1AG,0,0,0,0,0
1CG,0,0,0,0,0
1MC,1,1,1,0,3
1ST,0,0,0,0,0
1TT,1,1,0,1,3
29M,1,1,1,0,3
360,0,0,0,0,0
3DA,0,0,0,0,0
3DP,1,1,0,1,3
3MF,0,0,0,0,0
3PL,1,1,1,0,3
4DS,1,1,0,1,3
4DX,0,0,0,0,0
5EA,0,0,0,0,0
5GG,0,0,0,0,0
88E,1,1,0,1,3
8CO,0,0,0,0,0
8IH,1,1,1,0,3
8VI,1,1,0,1,3
92E,0,0,0,0,0
A11,0,0,0,0,0
A1G,0,0,0,0,0
A1M,1,1,1,1,4
A1N,1,1,1,1,4
A2B,1,1,1,0,3
A2M,0,0,0,0,0
A3D,0,0,0,0,0
A4N,0,0,0,0,0
A8G,0,0,0,0,0
AAC,1,1,1,0,3
AAJ,1,1,0,1,3
AAP,0,0,0,0,0
AAR,1,1,0,1,3
AAU,1,1,0,1,3
ABA,1,1,1,0,3
ABB,0,0,0,0,0
ABC,1,1,1,0,3
ABE,0,0,0,0,0
ABG,0,0,0,0,0
ABV,1,1,0,1,3
ABX,0,0,0,0,0
ABY,0,0,0,0,0
AC8,1,1,1,1,4
ACB,0,0,0,0,0
ACE,1,1,0,1,3
ACF,1,1,1,1,4
ACL,1,1,1,0,3
ACM,0,0,0,0,0
ACP,0,0,0,0,0
ACQ,1,1,1,0,3
ACR,1,1,1,0,3
ACS,0,0,0,0,0
ACU,1,1,1,0,3
ACW,1,1,0,1,3
AD1,0,0,0,0,0
AD8,0,0,0,0,0
ADA,1,1,1,0,3
ADC,0,0,0,0,0
ADD,1,1,0,1,3
ADG,1,1,0,1,3
ADH,1,1,1,0,3
ADN,1,1,1,1,4
ADO,1,1,0,1,3
ADR,0,0,0,0,0
ADS,1,1,0,1,3
ADT,0,0,0,0,0
ADV,1,1,0,1,3
ADX,0,0,0,0,0
ADY,1,1,0,1,3
AE1,0,0,0,0,0
AEE,1,1,0,1,3
AEF,1,1,1,1,4
AEI,0,0,0,0,0
AER,0,0,0,0,0
AEV,0,0,0,0,0
AFA,1,1,0,1,3
AFG,1,1,1,0,3
AFI,1,1,1,1,4
AFL,1,1,0,1,3
AFP,1,1,1,0,3
AFW,1,1,0,1,3
AGC,0,0,0,0,0
AGD,1,1,1,1,4
AGE,1,1,1,0,3
AGH,0,0,0,0,0
AGI,1,1,1,0,3
AGL,1,1,1,0,3
AGN,0,0,0,0,0
AGR,1,1,0,1,3
AGY,0,0,0,0,0
AHC,1,1,1,0,3
AHF,1,1,0,1,3
AHI,0,0,0,0,0
AHK,1,1,0,1,3
AHL,1,1,1,0,3
