Symbol,Crawl_Price,Price,Date_Start,Date_End
Total,2012,2012,,
14D,1,1,12/09/2018,23/08/2023
14DN,0,0,,
1AD,1,1,22/08/2016,23/08/2023
1AE,1,1,18/05/2022,23/08/2023
1AG,1,1,16/05/2008,10/08/2023
1CG,1,1,27/09/2022,23/08/2023
1MC,1,1,14/12/2021,23/08/2023
1ST,1,1,09/06/2015,23/08/2023
1TT,1,1,09/07/2015,23/08/2023
29M,1,1,02/07/2021,23/08/2023
360,1,1,10/05/2019,23/08/2023
3DA,1,1,06/12/2019,23/08/2023
3DP,1,1,27/03/2008,23/08/2023
3MF,0,0,,
3PL,1,1,09/07/2014,23/08/2023
4DS,1,1,09/12/2010,23/08/2023
4DX,1,1,07/08/2020,23/08/2023
5EA,1,1,01/03/2022,23/08/2023
5GG,1,1,29/01/2021,23/08/2023
88E,1,1,20/01/2000,23/08/2023
8CO,1,1,27/08/2014,23/08/2023
8IH,1,1,17/12/2014,23/08/2023
8VI,1,1,16/12/2015,23/08/2023
92E,1,1,15/04/2021,23/08/2023
A11,1,1,26/09/2022,23/08/2023
A1G,1,1,14/02/2019,23/08/2023
A1M,1,1,04/01/2000,23/08/2023
A1N,1,1,04/01/2000,23/08/2023
A2B,1,1,04/01/2000,23/08/2023
A2M,1,1,31/03/2015,23/08/2023
A3D,1,1,16/08/2016,22/08/2023
A4N,1,1,22/10/2007,23/08/2023
A8G,1,1,13/05/2021,23/08/2023
AAC,1,1,10/08/2001,23/08/2023
AAJ,1,1,23/07/2010,23/08/2023
AAP,1,1,07/01/2004,23/08/2023
AAR,1,1,04/01/2000,23/08/2023
AAU,1,1,24/01/2000,23/08/2023
ABA,1,1,04/01/2000,23/08/2023
ABB,1,1,16/10/2020,23/08/2023
ABC,1,1,04/01/2000,23/08/2023
ABE,1,1,06/12/2021,21/08/2023
ABG,1,1,14/11/2002,23/08/2023
ABV,1,1,05/04/2006,21/08/2023
ABX,1,1,24/12/2009,23/08/2023
ABY,1,1,23/10/2020,23/08/2023
AC8,1,1,14/01/2000,31/08/2022
ACB,1,1,19/05/2006,23/08/2023
ACE,1,1,21/02/2000,23/08/2023
ACF,1,1,27/06/2008,23/08/2023
