Symbol,Security_id,Error_code
14D,0P0001DWIR,100
14DN,,404
1AD,0P00018JPY,100
1AE,0P0001P4BI,100
1AG,0P0000FTSV,100
1CG,0P0001PRAR,100
1MC,0P00006Y0F,100
1ST,0P0001608U,100
1TT,0P00016A4B,100
29M,0P0001MTJR,100
360,0P0001HFR6,100
3DA,0P0001IVCP,100
3DP,0P0000D6LH,100
3MF,,404
3PL,0P00013MF1,100
4DS,0P0000RV1U,100
4DX,0P0001KHAB,100
5EA,0P0001OE30,100
5GG,0P0001LL8Y,100
88E,0P00006WFU,100
8CO,0P00013Y31,100
8IH,0P000152U2,100
8VI,0P0001738P,100
92E,0P0001M4PD,100
A11,0P0001PPJT,100
A1G,0P0001FTMP,100
A1M,0P00006Y1C,100
A1N,0P00006W6T,100
A2B,0P00006WCM,100
A2M,0P00015NU3,100
A3D,0P00018J4P,100
A4N,0P0000A1N6,100
A8G,0P0001M7PO,100
AAC,0P00006W9O,100
AAJ,0P0000O2RT,100
AAP,0P0000A12U,100
AAR,0P00006W8J,100
AAU,0P00006XYV,100
ABA,0P00006X23,100
ABB,0P0001KWHO,100
ABC,0P00006W78,100
ABE,0P0001O0BO,100
ABG,,100
ABV,0P00006Y6O,100
ABX,0P0000MQTZ,100
ABY,0P0001KY8R,100
AC8,0P00006WEB,100
ACB,0P00006XTC,100
ACE,0P0001LI6K,100
ACF,0P0000FXXF,100
ACL,0P0001MG0W,100
ACM,0P0001R7WK,100
ACP,0P0000TE2X,100
ACQ,0P00012XO6,100
ACR,0P00006W73,100
ACS,0P00006XTM,100
ACU,0P00006Y1U,100
ACW,0P0000A1O9,100
AD1,0P0001746X,100
AD8,0P0001B6GU,100
ADA,0P00006W74,100
ADC,0P0001Q8XC,100
ADD,0P00006WTI,100
ADG,0P0000A1EU,100
ADH,0P000165Z2,100
ADN,0P00006W79,100
ADO,0P00006WB6,100
ADR,0P00016J76,100
ADS,0P00006W8M,100
ADT,0P0001D6V4,100
ADV,0P00006XYE,100
ADX,0P00006W98,100
ADY,0P00006W7C,100
AE1,,404
AEE,0P00006XUN,100
AEF,0P00006XUY,100
AEI,0P00006XTY,100
AER,0P00014IG4,100
AEV,0P00006Y33,100
AFA,0P00006W6V,100
AFG,0P000162MF,100
AFI,0P0000PWFX,100
AFL,0P00006WQF,100
AFP,0P0001746Y,100
AFW,0P0000RVL1,100
AGC,0P0001LFPS,100
AGD,0P0000A1O5,100
AGE,0P0000S9EH,100
AGH,0P0001EN61,100
AGI,0P00006W7N,100
AGL,0P00006XTF,100
AGN,0P0001MNML,100
AGR,0P0000CG6S,100
AGY,0P00006XUG,100
AHC,0P00006Y7H,100
AHF,0P00006XTG,100
AHI,0P00016H77,100
AHK,0P0000SV9H,100
AHL,0P0001PT9E,100
AHN,0P0000A1O0,100
AHQ,,404
AHX,0P000173DT,100
AIA,0P00006W97,100
AIB,0P0000PWHG,100
AII,0P0001N0BA,100
AIM,0P0001KOZ8,100
AIQ,0P00007XTX,100
AIS,0P0000SDYX,100
AIV,0P00006XTP,100
AIZ,0P00006W7O,100
AJJ,0P0000A1KQ,100
AJL,0P00006W6O,100
AJQ,0P0000VYN3,100
AJX,0P00006WHD,100
AJY,0P0000X7PN,100
AKE,0P0000A11W,100
AKG,0P00006XZI,100
